n       1       2       3       4       5       6       7       8       9
3       0.0     0.555555555556  0.333333333333  0.0     0.0     0.0     0.0     0.0     0.0
4       0.115942028986  0.260869565217  0.463768115942  0.13768115942   0.0     0.0     0.0     0.0     0.0
5       0.0871934604905 0.25068119891   0.348773841962  0.267029972752  0.0354223433243 0.0     0.0     0.0     0.0
6       0.049955396967  0.208296164139  0.323818019625  0.28724353256   0.114183764496  0.00992417484389        0.0     0.0     0.0
7       0.0370180628316 0.143511097156  0.300375138405  0.301036175241  0.169225430087  0.042438564889  0.00242104741287        0.0     0.0
8       0.0247625482531 0.106613975834  0.242188009028  0.313130046146  0.213971930306  0.0823520058003 0.0141080393608 0.000593288520484       0.0
