n       0       1       2       3       4       5       6       7       8       9
3       0.5     0.222222222222  0.166666666667  0.111111111111  0.0     0.0     0.0     0.0     0.0     0.0
4       0.405797101449  0.326086956522  0.231884057971  0.036231884058  0.0     0.0     0.0     0.0     0.0     0.0
5       0.309264305177  0.392370572207  0.237057220708  0.0517711171662 0.00681198910082        0.00272479564033        0.0     0.0     0.0     0.0
6       0.254683318466  0.404884032114  0.250669045495  0.0740410347904 0.0147190008921 0.00100356824264        0.0     0.0     0.0     0.0
7       0.215489745666  0.387632000793  0.271405199055  0.100808117532  0.0222604154617 0.00221447340153        0.000148733288162       4.13148022674e-05       0.0     0.0
8       0.184156814164  0.36374470396   0.28942864335   0.125804721107  0.0319032506298 0.00448913036303        0.000453218468236       1.95179581001e-05       0.0     0.0
9       0.15733813779   0.338240029855  0.301914665877  0.149289354732  0.0441583739547 0.00806310729758        0.000935281945386       5.79032783336e-05       2.57684746511e-06       5.6842223495e-07
