AllDiagrams[],484088
Unknot[],422332
"Knot[3, 1]",25432
"Knot[3, 1]m",25432
"Knot[4, 1]",8450
"Knot[5, 2]",730
"Knot[5, 2]m",730
"Knot[5, 1]",213
"Knot[5, 1]m",213
"Knot[3, 1]#Knot[3, 1]m",112
"Knot[6, 3]",106
"Knot[3, 1]m#Knot[3, 1]m",58
"Knot[3, 1]#Knot[3, 1]",58
"Knot[6, 2]m",58
"Knot[6, 2]",58
"Knot[6, 1]m",34
"Knot[6, 1]",34
"Knot[3, 1]#Knot[4, 1]",8
"Knot[3, 1]m#Knot[4, 1]",8
"Knot[7, 6]",3
"Knot[7, 6]m",3
"Knot[7, 7]m",2
"Knot[7, 7]",2
"Knot[7, 5]",2
"Knot[7, 5]m",2
"Knot[7, 1]",1
"Knot[7, 1]m",1
"Knot[7, 2]",1
"Knot[7, 2]m",1
"Knot[7, 4]",1
"Knot[7, 3]",1
"Knot[7, 3]m",1
"Knot[7, 4]m",1
