n	avg	0	1	2	3	4	5	6	7	8	9
3	0.333333333333	0.888888888889	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0
4	0.434782608696	0.86231884058	0.0	0.0	0.115942028986	0.0217391304348	0.0	0.0	0.0	0.0	0.0
5	0.83378746594	0.743869209809	0.0	0.0	0.201634877384	0.0435967302452	0.0108991825613	0.0	0.0	0.0	0.0
6	1.24776984835	0.631244424621	0.0	0.0	0.261819803747	0.0789473684211	0.021409455843	0.00657894736842	0.0	0.0	0.0
7	1.71829088926	0.519219646015	0.0	0.0	0.302887078382	0.109996529557	0.0417114243691	0.0222108376989	0.00397448397812	0.0	0.0
8	2.20411937987	0.420464751285	0.0	0.0	0.320957895459	0.133765751782	0.0617226722036	0.0463333362993	0.0144754362192	0.00228015675217	0.0
9	2.70804822221	0.335441687192	0.0	0.0	0.320184438615	0.147766741039	0.0791947078829	0.0738833705195	0.0325210276437	0.00956525779047	0.00144276931675
