6,5,3,2,6
processing,n=4
19,18,11,10,19
processing,n=5
76,74,52,50,76
processing,n=6
376,371,275,270,376
processing,n=7
2194,2178,1714,1698,2194
processing,n=8
14614,14562,11892,11841,14613
