n       sharat	        diarat
3       0.833333333333  0.888888888889
4       0.842105263158  0.86231884058
5       0.723684210526  0.743869209809
6       0.63829787234   0.631244424621
7       0.523701002735  0.519219646015
8       0.426235117011  0.420464751285
9       0.338232115842  0.335441687192
