n	0.1	3.1	3.1m	4.1	5.1	5.1m	5.2	5.2m	3.1c3.1	3.1c3.1m	3.1mc3.1m	6.2	6.2m	6.3	6.1	6.1m	3.1c4.1	3.1mc4.1	7.7	7.7m	7.3	7.3m	7.4	7.4m	7.1	7.1m	7.6	7.6m	7.5	7.5m	7.2	7.2m	5.1c3.1	5.1mc3.1	3.1c5.2	3.1c5.2m	5.1c3.1m	5.1mc3.1m	3.1mc5.2	3.1mc5.2m	4.1c4.1	8.7	8.7m	8.16	8.16m	8.9	8.3	8.15	8.15m	8.4	8.4m	8.2	8.20m	8.8	8.8m	8.17	8.14	8.14m	8.21	8.21m	8.1	8.10m	8.18	8.1	8.1m	8.12	8.2	8.2m	8.6	8.6m	8.11	8.11m	8.5	8.5m	8.19	8.19m	8.13	8.13m	3.1c3.1c3.1	3.1c3.1c3.1m	3.1c3.1mc3.1m	3.1mc3.1mc3.1m	6.2c3.1	6.2mc3.1	6.3c3.1	6.1c3.1	6.1mc3.1	6.2c3.1m	6.2mc3.1m	6.3c3.1m	6.1c3.1m	6.1mc3.1m	5.1c4.1	5.1mc4.1	5.2c4.1	5.2mc4.1	9.7	9.7m	9.36	9.36m	9.39	9.39m	9.6	9.6m	9.2	9.20m	9.47	9.47m	9.46	9.46m	9.27	9.27m	9.24	9.24m	9.33	9.33m	9.26	9.26m	9.17	9.17m	9.8	9.8m	9.4	9.4m	9.29	9.29m	9.31	9.31m	9.32	9.32m	9.21	9.21m	9.19	9.19m	9.45	9.45m	9.15	9.15m	9.5	9.5m	9.3	9.3m	9.43	9.43m	9.35	9.35m	9.14	9.14m	9.22	9.22m	9.41	9.41m	9.28	9.28m	9.42	9.23	9.23m	9.38	9.38m	9.1	9.10m	9.11	9.11m	9.18	9.18m	9.9	9.9m	9.37	9.37m	9.1	9.1m	9.12	9.12m	9.34	9.34m	9.3	9.30m	9.4	9.40m	9.16	9.16m	9.48	9.48m	9.2	9.2m	9.25	9.25m	9.44	9.44m	9.13	9.13m	9.49	9.49m
3	0.944444444	0.027777778	0.027777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.960144928	0.018115942	0.018115942	0.003623188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.934604905	0.028950954	0.028950954	0.00613079	0.000340599	0.000340599	0.000340599	0.000340599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.904772525	0.040867529	0.040867529	0.011485281	0.000167261	0.000167261	0.000669045	0.000669045	5.58E-05	5.58E-05	5.58E-05	2.79E-05	2.79E-05	5.58E-05	2.79E-05	2.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.872428154	0.052535903	0.052535903	0.017455504	0.000440003	0.000440003	0.00150799	0.00150799	0.000119813	0.000231363	0.000119813	0.000119813	0.000119813	0.000218968	7.02E-05	7.02E-05	1.65E-05	1.65E-05	4.13E-06	4.13E-06	2.07E-06	2.07E-06	2.07E-06	2.07E-06	2.07E-06	2.07E-06	6.20E-06	6.20E-06	4.13E-06	4.13E-06	2.07E-06	2.07E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0.83996566	0.063228138	0.063228138	0.023793396	0.00083511	0.00083511	0.002594023	0.002594023	0.00028789	0.000567312	0.00028789	0.000290904	0.000290904	0.000504453	0.000181833	0.000181833	7.41E-05	7.41E-05	1.78E-05	1.78E-05	5.60E-06	5.60E-06	5.17E-06	5.17E-06	1.15E-06	1.15E-06	2.77E-05	2.77E-05	1.46E-05	1.46E-05	6.31E-06	6.31E-06	2.87E-07	2.87E-07	1.44E-06	1.44E-06	2.87E-07	2.87E-07	1.44E-06	1.44E-06	2.87E-06	2.87E-07	2.87E-07	1.44E-07	1.44E-07	2.87E-07	1.44E-07	4.31E-07	4.31E-07	1.44E-07	1.44E-07	2.01E-06	2.01E-06	5.74E-07	5.74E-07	2.87E-07	8.61E-07	8.61E-07	1.29E-06	1.29E-06	2.87E-07	2.87E-07	1.44E-07	1.44E-07	1.44E-07	7.18E-07	1.44E-07	1.44E-07	2.87E-07	2.87E-07	4.31E-07	4.31E-07	1.44E-07	1.44E-07	8.61E-07	8.61E-07	5.74E-07	5.74E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0.807666739	0.072910412	0.072910412	0.030084808	0.001351083	0.001351083	0.003934334	0.003934334	0.000538987	0.001077009	0.000538987	0.000552829	0.000552829	0.000915785	0.000361886	0.000361886	0.000193813	0.000193813	4.46E-05	4.46E-05	1.70E-05	1.70E-05	1.44E-05	1.44E-05	4.21E-06	4.21E-06	7.21E-05	7.21E-05	4.02E-05	4.02E-05	1.99E-05	1.99E-05	1.78E-06	1.78E-06	7.43E-06	7.43E-06	1.78E-06	1.78E-06	7.43E-06	7.43E-06	1.11E-05	1.60E-06	1.60E-06	6.44E-07	6.44E-07	1.52E-06	4.74E-07	1.39E-06	1.39E-06	8.53E-07	8.53E-07	9.33E-06	9.33E-06	3.05E-06	3.05E-06	1.29E-06	4.19E-06	4.19E-06	5.44E-06	5.44E-06	1.52E-06	1.52E-06	1.52E-07	5.49E-07	5.49E-07	3.22E-06	9.28E-07	9.28E-07	1.60E-06	1.60E-06	2.24E-06	2.24E-06	4.17E-07	4.17E-07	3.19E-06	3.19E-06	2.87E-06	2.87E-06	1.23E-07	3.32E-07	3.32E-07	1.23E-07	2.27E-07	2.27E-07	4.55E-07	1.14E-07	1.14E-07	2.27E-07	2.27E-07	4.55E-07	1.14E-07	1.14E-07	7.58E-08	7.58E-08	4.07E-07	4.07E-07	2.84E-08	2.84E-08	2.84E-08	2.84E-08	9.47E-09	9.47E-09	1.89E-08	1.89E-08	5.68E-08	5.68E-08	1.89E-08	1.89E-08	1.14E-07	1.14E-07	1.14E-07	1.14E-07	5.68E-08	5.68E-08	3.79E-08	3.79E-08	7.58E-08	7.58E-08	3.79E-08	3.79E-08	4.74E-08	4.74E-08	9.47E-09	9.47E-09	9.47E-09	9.47E-09	7.58E-08	7.58E-08	3.79E-08	3.79E-08	5.68E-08	5.68E-08	7.58E-08	7.58E-08	3.03E-07	3.03E-07	5.68E-08	5.68E-08	1.89E-08	1.89E-08	9.47E-09	9.47E-09	2.46E-07	2.46E-07	9.47E-09	9.47E-09	3.79E-08	3.79E-08	3.79E-08	3.79E-08	9.47E-09	9.47E-09	6.63E-08	6.63E-08	6.63E-07	4.74E-08	4.74E-08	9.47E-09	9.47E-09	1.89E-08	1.89E-08	2.84E-08	2.84E-08	5.68E-08	5.68E-08	1.89E-08	1.89E-08	1.89E-08	1.89E-08	9.47E-09	9.47E-09	4.07E-07	4.07E-07	9.47E-09	9.47E-09	7.58E-08	7.58E-08	9.47E-09	9.47E-09	1.89E-08	1.89E-08	3.79E-08	3.79E-08	9.47E-09	9.47E-09	5.68E-08	5.68E-08	3.98E-07	3.98E-07	3.79E-08	3.79E-08	1.89E-08	1.89E-08
