n	0.1	3.1	3.1m	4.1	5.1	5.1m	5.2	5.2m	3.1c3.1	3.1c3.1m	3.1mc3.1m	6.2	6.2m	6.3	6.1	6.1m	3.1c4.1	3.1mc4.1	7.7	7.7m	7.3	7.3m	7.4	7.4m	7.1	7.1m	7.6	7.6m	7.5	7.5m	7.2	7.2m	5.1c3.1	5.1mc3.1	3.1c5.2	3.1c5.2m	5.1c3.1m	5.1mc3.1m	3.1mc5.2	3.1mc5.2m	4.1c4.1	8.7	8.7m	8.16	8.16m	8.9	8.3	8.15	8.15m	8.4	8.4m	8.20	8.20m	8.8	8.8m	8.17	8.14	8.14m	8.21	8.21m	8.10	8.10m	8.18	8.1	8.1m	8.12	8.2	8.2m	8.6	8.6m	8.11	8.11m	8.5	8.5m	8.19	8.19m	8.13	8.13m
3	0.9444444444444444	0.027777777777777776	0.027777777777777776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.9583333333333334	0.019230769230769232	0.019230769230769232	0.003205128205128205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.936884236453202	0.028017241379310345	0.028017241379310345	0.005849753694581281	0.0003078817733990148	0.0003078817733990148	0.0003078817733990148	0.0003078817733990148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.9074386503067484	0.039800613496932515	0.039800613496932515	0.011017382413087935	0.00017893660531697342	0.00017893660531697342	0.0006390593047034765	0.0006390593047034765	5.112474437627812e-05	5.112474437627812e-05	5.112474437627812e-05	2.556237218813906e-05	2.556237218813906e-05	5.112474437627812e-05	2.556237218813906e-05	2.556237218813906e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.8750458708582438	0.051583691380865736	0.051583691380865736	0.016974128835950522	0.00042048286723444595	0.00042048286723444595	0.0014430207489182123	0.0014430207489182123	0.00011467714560939435	0.00021788657665784927	0.00011467714560939435	0.00011276585984923779	0.00011276585984923779	0.00020641886209690982	6.689500160548003e-05	6.689500160548003e-05	1.529028608125258e-05	1.529028608125258e-05	3.822571520313145e-06	3.822571520313145e-06	1.9112857601565726e-06	1.9112857601565726e-06	1.9112857601565726e-06	1.9112857601565726e-06	1.9112857601565726e-06	1.9112857601565726e-06	5.733857280469717e-06	5.733857280469717e-06	3.822571520313145e-06	3.822571520313145e-06	1.9112857601565726e-06	1.9112857601565726e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0.8424157839584042	0.06241484952243648	0.06241484952243648	0.023317114194749806	0.0008061512584850123	0.0008061512584850123	0.002513632753315579	0.002513632753315579	0.00027579210134625525	0.0005429072972774541	0.00027579210134625525	0.0002784619183970418	0.0002784619183970418	0.00048363735874999166	0.00017380509000620731	0.00017380509000620731	6.994920673060879e-05	6.994920673060879e-05	1.6819847419955547e-05	1.6819847419955547e-05	5.339634101573189e-06	5.339634101573189e-06	4.939161543955201e-06	4.939161543955201e-06	1.2014176728539676e-06	1.2014176728539676e-06	2.616420709770863e-05	2.616420709770863e-05	1.3883048664090294e-05	1.3883048664090294e-05	6.007088364269839e-06	6.007088364269839e-06	2.6698170507865947e-07	2.6698170507865947e-07	1.3349085253932973e-06	1.3349085253932973e-06	2.6698170507865947e-07	2.6698170507865947e-07	1.3349085253932973e-06	1.3349085253932973e-06	2.6698170507865947e-06	2.6698170507865947e-07	2.6698170507865947e-07	1.3349085253932973e-07	1.3349085253932973e-07	2.6698170507865947e-07	1.3349085253932973e-07	4.0047255761798925e-07	4.0047255761798925e-07	1.3349085253932973e-07	1.3349085253932973e-07	1.8688719355506165e-06	1.8688719355506165e-06	5.339634101573189e-07	5.339634101573189e-07	2.6698170507865947e-07	8.009451152359785e-07	8.009451152359785e-07	1.2014176728539676e-06	1.2014176728539676e-06	2.6698170507865947e-07	2.6698170507865947e-07	1.3349085253932973e-07	1.3349085253932973e-07	1.3349085253932973e-07	6.674542626966487e-07	1.3349085253932973e-07	1.3349085253932973e-07	2.6698170507865947e-07	2.6698170507865947e-07	4.0047255761798925e-07	4.0047255761798925e-07	1.3349085253932973e-07	1.3349085253932973e-07	8.009451152359785e-07	8.009451152359785e-07	5.339634101573189e-07	5.339634101573189e-07
