K	10_35	10_36	10_37	10_38	10_39	10_40	10_41	10_42	10_43	10_44	10_45			
10_23	2-3	2-3	2	2-3	3	2	2-3	2	2-3	2	2-3			
10_23*	2-3	2	2	2	2	2-3	2-3	2	2-3	2	2-3			
10_24	2-3	2	2	2	2	2-4	2	2-3	2-3	2-3	2-3			
10_24*	2	2-4	2	2-4	3-4	2	2-3	2-3	2-3	2-3	2-3			
10_25	2-4	2	2-3	2	2	3	2	2-3	2	2	2-3			
10_25*	2-3	3-4	2-3	3-4	4	2	3-4	2-3	2	3	2-3			
10_26	2	2	2-3	2-3	2-3	2-3	2	2	2-3	2	2			
10_26*	2	2	2-3	2-3	2-3	2-3	2	2	2-3	2	2			
10_27	2-3	2-3	2-3	2-3	3	2	2-3	2	2	2	2			
10_27*	2-3	2	2-3	2	2	2-3	2	2	2	2	2			
10_28	2-3	2-3	2	2-4	2-4	2	2-3	2	2	2	2-3			
10_28*	2-3	2	2	2	2	2	2-3	2	2	2	2-3			
10_29	2	2-3	2-4	2	2	2-4	2	2	2-3	2-3	2			
10_29*	2	2-3	2-4	2-3	3-4	2-3	2	2-3	2-3	2-3	2			
10_30	2-3	2	2	2	2	2-3	2	2	2-3	2	2			
10_30*	2-3	2-3	2	2-3	3	2	2-3	2	2-3	2	2			
10_31	2-3	2	2	2-3	2-3	2	2-3	2	2	2	2-3			
10_31*	2-3	2	2	2	2	2	2-3	2	2	2	2-3			
10_32	2-3	2	2-3	2	2	2	2-3	2	2	2	2			
10_32*	2-3	2-3	2-3	2	2	2	2	2	2	2	2			
10_33	2	2-3	2-3	2	2-3	2-3	2	2	2-3	2	2			
10_34	2-4	2	1	2-3	2-3	1	2-3	2-3	1	2	2-3			
10_34*	2-4	2	1	2	2	2	2-3	2-3	1	2-3	2-3			
10_35	0	2	2-4	2-3	2-3	2-4	2	2	2-3	2	2			
10_35*	1	2	2-4	2	2-3	2-4	1	2	2-3	2	2			
10_36	2	0	2	2	1	2-3	2	2	2	1	2			
10_36*	2	2	2	2-3	3	2	2	2	2	2	2			
10_37	2-4	2	0	2	2	2	2-3	2-3	2	2-3	2-4			
10_38	2-3	2	2	0	1	2-4	2	2	2-3	2	2			
10_38*	2	2-3	2	2-3	3-4	2	2-3	2-3	2-3	2-3	2			
10_39	2-3	1	2	1	0	3-4	2	2	2-3	2	2			
10_39*	2-3	3	2	3-4	4	2	3	2-3	2-3	3	2			
10_40	2-4	2-3	2	2-4	3-4	0	2-4	2	2	2	2-3			
10_40*	2-4	2	2	2	2	2	2-3	2	2	2	2-3			
10_41	2	2	2-3	2	2	2-4	0	2	2	2	2			
10_41*	1	2	2-3	2-3	3	2-3	2	2	2	2	2			
10_42	2	2	2-3	2	2	2	2	0	2	2	2			
10_42*	2	2	2-3	2-3	2-3	2	2	2	2	2	2			
10_43	2-3	2	2	2-3	2-3	2	2	2	0	2	2-3			
10_44	2	1	2-3	2	2	2	2	2	2	0	2			
10_44*	2	2	2-3	2-3	3	2	2	2	2	2	2			
10_45	2	2	2-4	2	2	2-3	2	2	2-3	2	0			
3_1 # 7_1	4-6	3-4	4	3-4	2-3	5	3-5	4-5	4	3-4	4-5			
3_1* # 7_1*	4-6	5-6	4	5-6	6	3	5-6	4-5	4	5	4-5			
3_1 # 7_1*	2-6	3-4	2-4	3-5	4-5	2-3	3-5	2-5	2-4	3-4	2-5			
3_1* # 7_1	2-6	2-4	2-4	2-4	1-3	3-4	1-5	2-5	2-4	2-4	2-5			
3_1 # 7_2	2-4	2	2-3	1-3	1-3	3	1-3	2-3	2	1-2	2-3			
