K	9_11	9_12	9_13	9_14	9_15	9_17	9_18	9_19	9_20	9_21	9_23	9_26	9_27	9_31
4_1 # 5_1	4	1-4	4-6	2-4	3	2-3	2-3	2-3	2-3	3-4	1-2	3-4	2-3	1-2
4_1 # 5_1*	2	3-4	2	2-3	2-3	3	4-5	2-3	4	2-3	4-5	2	2-3	3-4
4_1 # 5_2	3	1-3	3-5	2-3	2	2	2	2	2	2-3	1-2	2-3	2	1-2
4_1 # 5_2*	2	2-3	1-3	2	2	2	3-4	2	3	1-2	3-4	1-2	2	2-4
10_1	2-3	2	2-4	2	2-3	2-3	2-3	2	2-3	2	2-3	2	2	2-3
10_1*	2-3	2	2-4	2	2-3	2-3	2-3	2	2-3	2	2-3	2	2	2-3
10_2	5	2-4	5-6	3-4	4	2-3	2-3	3-4	2-3	4	2	4	3	2
10_2*	2	4	2	3	2-3	4	5	3-4	5	2-3	5	2	3	4
10_3	2-4	2-3	2-5	2-3	2-4	2-4	2-4	2-3	2-4	2-3	2-4	2-3	2-3	2-4
10_3*	2-4	2-3	2-5	2-3	2-4	2-4	2-4	2-3	2-4	2-3	2-4	2-3	2-3	2-4
10_4	3-4	2-3	3-5	2	2-3	2-3	2-4	2-3	2-3	2-3	2-4	2-3	2-3	2-4
10_4*	2-4	2	2-5	2-3	2-3	2-3	3-4	2	3	2-3	3-4	2-3	2-3	2-4
10_5	2	3	2	2	2-3	3	4	2-3	4	2	4	2	2-3	3
10_5*	4	2-3	4-5	2-3	3-4	2-3	2-3	2-3	2	3	2	3	2	2
10_6	4-5	2-3	4-6	2-4	3-4	2-3	2-3	2-3	2-3	3-4	2	3-4	2-3	2
10_6*	2	3-4	2	2-3	2-3	3-4	4-5	2-4	4-5	2-3	4-5	2	2-3	3-4
10_7	3	2	3-4	2	2-3	2-3	2	2	2-3	2	2-3	2	2	2-3
10_7*	2-3	2	2-3	2	2	2-3	3	2	3	2	3	2	2	2-3
10_8	4	2-3	4-5	2-3	3	2	2-4	2-3	2	3	2-3	3	2-3	2-3
10_8*	2-3	3	2-3	2-3	2-3	3	4	2-3	4	2-3	4	2	2	3-4
10_9	2-3	2	2-3	2	2-3	2-3	3	2	3	2	3	2	2	2-3
10_9*	3	2	3-4	2	2-3	2-3	2-3	2	2	2	2-3	2	2	2
10_10	2-3	2	2-3	2	2	2	2-3	2	2-3	2	2-3	2	2	2-3
10_10*	2-3	2	2-4	2	2	2	2	2	2-3	2	2-3	2	2	2-3
10_11	3-4	2-3	3-6	2-3	2-3	2-3	2-4	2-3	2-3	2-4	2-4	2-4	2-3	2-3
10_11*	2-4	2-3	2-4	2-3	2-3	2-3	3-5	2-3	3-4	2-3	3-5	2-3	2-3	2-4
10_12	2	2-3	2	2-3	2-3	2-4	3-4	2-3	3	2-3	3-4	2	2-3	2-3
10_12*	3-4	2-3	3-4	2-3	2-4	2-4	2	2-3	2-3	2-3	2	2-3	2-3	2
10_13	2-4	2	2-5	2-3	2-3	2-3	2-4	2	2-3	2-3	2-4	2-3	2-3	2-4
10_13*	2-4	2-3	2-5	2	2-3	2-3	2-4	2-3	2-4	2-3	2-4	2-3	2-3	2-4
10_14	4	2-3	4-5	2-3	3	2-3	2	2-3	2	3	2	3	2	2
10_14*	2	3	2	2	2-3	3	4	2-3	4	2	4	2	2-3	3
10_15	2	2-3	2	2-3	2-3	2-4	3	2-3	3	2-3	3	2	2	2
10_15*	3	2-3	3-4	2-3	2-3	2-4	2-3	2-3	2-3	2-3	2	2-3	2	2
10_16	2-3	2-3	2-4	2	2-3	2-3	3-4	2-3	3-4	2-3	3-4	2-3	2-3	2-4
10_16*	3-4	2	3-5	2-3	2-3	2-3	2-3	2	2-3	2-3	2-3	2-3	2-3	2-3
10_17	2-3	2	2-3	2	2-3	2-3	2-3	2	2-3	2	2-3	2	2	2-3
10_18	3	2	3-4	2	2	2	2-3	2	2-3	2	2-3	2	2	2-3
10_18*	2-3	2	2-4	2	2	2	3	2	3	2	3	2	2	2-3
10_19	3	2-3	3-4	2-3	2	2	2-3	2	2	2-3	2-3	2-3	2	2
10_19*	2-3	2-3	2-3	2	2	2	3	2	3	2	3	2	2	2-3
10_20	3-4	2-3	3-5	2-3	2-4	2-3	2-3	2-3	2	2-3	2-3	2-3	2	2
10_20*	2-3	2-3	2-3	2	2-3	2-3	3-4	2-3	3-4	2	3-4	2	2-3	2-3
10_21	4	2-3	4-5	2-3	3-4	2-3	2	2-3	2	3	2	3	2-3	2
10_21*	2	3	2	2	2	3-4	4	2-3	4	2	4	2	2-3	3-4
10_22	2-4	2-3	2-4	2-3	2-3	2-3	2-4	2-3	2-3	2-3	2-4	2	2	2-4
10_22*	2-4	2-3	2-5	2-3	2-3	2	2-4	2-3	2	2-3	2-4	2-3	2-3	2-3
