K	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10	10_11	10_12	10_13	10_14		
3_1* # 7_2*	2-4	3-4	1-2	4-5	3	4	2	2	3-5	1-3	2-4	4		
3_1 # 7_2*	1-4	2-4	2-4	2-3	2-3	2-3	2-3	2	2-3	2-3	2-4	2		
3_1* # 7_2	1-4	2-4	2	2-4	2	2-4	2	2-3	2-5	2-3	2-4	2-3		
3_1 # 7_3	2-5	2-5	1-3	3-4	2-4	3-4	1-4	2-3	2-4	1-2	2-5	3		
3_1* # 7_3*	2-5	2-5	3	1-3	2-3	2-4	2-3	2-4	2-5	2-4	2-5	1-2		
3_1 #7_3*	3-5	2-5	5	1-3	2-3	2-4	4	3-4	2-4	4	3-5	1-2		
3_1* # 7_3	3-5	4-5	1-3	5-6	4	5	2-3	3	4-6	2	3-5	5		
3_1 # 7_4	2-5	2-5	2-3	2-4	2-4	2-4	2-3	1-4	2-4	2-3	2-5	2-3		
3_1* #7_4*	2-5	2-5	2-3	2-4	2-4	2-4	2-3	1-4	2-4	2-4	2-5	2-3		
3_1 # 7_4*	2-5	2-5	4-5	2-4	2-4	2-4	3-4	2-4	2-4	3-4	2-5	2-3		
3_1* # 7_4	2-5	3-5	2-3	4-6	3-4	4-5	2-3	2-4	3-6	2-3	2-5	4-5		
3_1 #7_5	3-5	2-5	5	2-3	2-3	2-4	4	3-4	2-4	4	3-5	2-3		
3_1* # 7_5*	3-5	4-5	1-3	5-6	4	5	2-3	3	4-6	2-3	3-5	5		
3_1 # 7_5*	2-5	2-5	1-3	3-4	2-4	3-4	2-3	2-3	2-4	1-3	2-5	3		
3_1* # 7_5	2-5	2-5	3	2-3	1-3	2-4	2-3	2-4	1-4	2-4	2-5	2-3		
3_1 # 7_6	2-4	2-4	4	1-3	2-3	2-3	3	2-3	2-3	3	2-4	1-2		
3_1* #7_6*	2-4	3-4	1-2	4-5	3	4	2	2-3	3-4	1-3	2-4	4		
3_1 #7_6*	1-4	2-4	2-3	2-3	1-3	2-3	2-3	2-3	1-3	2-3	1-4	2		
3_1* #7_6	1-4	2-4	2	2-4	1-3	2-4	2	2-3	1-4	2-3	1-4	2-3		
3_1 #7_7	2-4	1-4	3	2-3	2-3	2-3	2-3	2-3	2-3	2-3	2-4	1-2		
3_1* #7_7*	2-4	2-4	1-2	3-4	2-3	3-4	2	2-3	2-4	2-3	2-4	3		
3_1 #7_7*	2-4	1-4	3-4	2-3	2-3	2-3	2-3	2-3	2-3	2-3	2-4	1-2		
3_1* #7_7	2-4	2-4	1-2	3-5	2-3	3-4	2	2-3	2-4	2-3	2-4	3-4		
3_1 # 3_1 # 4_1	2-5	1-4	4-5	1-4	1-4	2-4	3-4	2-3	1-4	3-4	2-4	1-3		
3_1* # 3_1* # 4_1	2-5	3-4	1-3	4-5	3-4	4	2-3	2-3	3-4	1-4	2-4	4		
3_1 # 3_1* # 4_1	2-5	1-4	2-3	2-4	1-4	2-4	2-3	1-3	1-4	1-4	2-4	2-3		
4_1 # 6_1	2-3	2-3	2-4	2-3	2-3	2-3	2-3	1-2	2-3	2-4	2	2-3		
4_1 # 6_1*	2-3	2	2-4	2-4	2-3	2-3	2-3	1-2	2-3	2-4	2-3	2-3		
4_1 # 6_2	2-4	2-3	3-4	2-3	2-3	1-2	2-3	1-2	2-3	2-4	2-3	2-3		
4_1 # 6_2*	2-4	2-3	2-3	3-4	2-3	3	1-3	1-2	2-3	2-4	2-3	3		
4_1 # 6_3	2-4	2-3	2-3	2-4	2-3	2-3	2-3	1-2	2-3	1-3	2-3	2-3		
5_1 # 5_1	4-6	3-6	6	2-3	3-5	2-4	5	4-5	3-5	5	4-6	2-3		
5_1* # 5_1*	4-6	5-6	2-3	6-7	5	6	3-4	4-5	5-7	3	4-6	6		
5_1 # 5_1*	1-6	2-6	2-3	2-3	2-5	2-4	2-4	1-5	2-5	2-3	2-6	2-3		
5_1 # 5_2	3-5	2-5	5	2	2-4	2-3	4	3-4	2-4	4	3-5	2		
5_1* # 5_2*	3-5	4-5	2	5-6	4	5	2-3	3-4	4-6	2	3-5	5		
5_1 # 5_2*	2-5	2-5	3-4	2	2-4	2-3	2-4	1-4	2-4	2-4	2-5	2		
5_1* # 5_2	2-5	2-5	2	3-4	2-4	3-5	1-3	1-4	2-5	2	2-5	3-4		
5_2 # 5_2	2-4	2-4	4	2-3	2-3	2-4	3	2-3	2-4	3-4	2-4	2-3		
5_2* # 5_2*	2-4	3-4	2-3	4-5	3	4	2-3	2-3	3-5	2-3	2-4	4		
5_2 # 5_2*	2-4	2-4	2-3	2-3	2-3	2-4	2-3	2-3	2-4	2-3	2-4	2-3		
