K	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21		
3_1* # 7_2*	1-3	3	2-4	2-3	3	4	3	2	2	1-3	2-3	3		
3_1 # 7_2*	1-3	2-3	1-4	1-3	1-2	2-3	1-2	1-2	1-2	3-4	1-3	1-3		
3_1* # 7_2	1-3	2-3	1-4	1-3	1-3	2-3	1-3	1-2	1-2	3	1-3	1-3		
3_1 # 7_3	2-3	2-4	2-5	2-4	2-3	3-4	2-3	1-3	1-3	2-3	2-3	2-4		
3_1* # 7_3*	2-4	2-3	2-5	2-3	1-3	1-3	2-3	1-3	1-3	4	2-3	1-4		
3_1 #7_3*	4	2-3	3-5	3	2-3	1-3	2-3	3	3	6	3	2-3		
3_1* # 7_3	2-3	4	3-5	3-4	4	5	4	3	3	2-3	3-4	4		
3_1 # 7_4	2	2-4	2-5	2-4	2-3	2-4	2-3	2-3	1-3	3-4	1-2	1-4		
3_1* #7_4*	2-4	2-3	2-5	2-3	2-3	2-3	2-3	2-3	1-3	3-4	1-3	1-4		
3_1 # 7_4*	3-4	2-3	2-5	2-3	2-3	2	2-3	2-3	2-3	5-6	2-3	1-2		
3_1* # 7_4	2-3	3-4	2-5	2-4	3-4	4-5	3-4	2-3	2-3	2	2-4	3-4		
3_1 #7_5	4	2-3	3-5	3	2-3	1-2	2-3	3	3	6	3	2		
3_1* # 7_5*	2-3	4	3-5	3-4	4	5	4	3	3	2	3-4	4		
3_1 # 7_5*	2	2-4	2-5	2-4	2-3	3-4	2-3	2-3	2-3	2-3	1-2	2-4		
3_1* # 7_5	2-4	2-3	2-5	2-3	2-3	1-3	1-3	2-3	2-3	4	1-3	1-4		
3_1 # 7_6	3	2-3	2-3	2-3	1-2	1-2	1-2	2	2	5	2-3	1-2		
3_1* #7_6*	1-3	3	2-3	2-3	3	4	3	2	2	1-2	2-3	3		
3_1 #7_6*	1-2	2-3	1-3	1-3	2	2-3	2	2	1-2	3-4	1-2	1-3		
3_1* #7_6	1-3	2-3	1-3	1-3	2-3	2-3	2-3	2	1-2	3	1-3	1-3		
3_1 #7_7	2	1-3	2-3	2-3	2	1-3	2	2	1-2	4	1-2	1-3		
3_1* #7_7*	1-3	2-3	2-3	2-3	2-3	3-4	2-3	2	1-2	2-3	1-3	2-3		
3_1 #7_7*	2-3	1-3	2-3	2-3	2	1-2	2	2	1-2	4-5	1-3	1-2		
3_1* #7_7	1-3	2-3	2-3	2-3	2-3	3-4	2-3	2	1-2	2	1-3	2-3		
3_1 # 3_1 # 4_1	3-4	1-4	2-3	2-3	1-3	1-2	1-3	2-3	2-3	5-6	2-4	1-2		
3_1* # 3_1* # 4_1	1-4	3-4	2-3	2-3	3	4-5	3	2-3	2-3	1-2	2-4	3-4		
3_1 # 3_1* # 4_1	1-2	1-4	1-3	1-3	1-3	2-4	1-3	1-3	1-3	3-4	1-2	1-4		
4_1 # 6_1	2-4	2	1-2	1-2	1-2	2-4	1-2	2-3	1-4	3-5	1-3	2-3		
4_1 # 6_1*	2-4	2-3	1-2	1-2	1-2	2-4	1-2	2-3	1-4	3-5	1-3	2-3		
4_1 # 6_2	2-4	2	2	2	1-2	2-4	1-2	2-3	1-3	4-5	1-3	1-2		
4_1 # 6_2*	2-4	2-3	2	2	2	3-4	2	2	1-3	2-4	1-3	2-3		
4_1 # 6_3	2	2-3	2	2	2	2-4	2	1-3	1-3	3-4	2	1-3		
5_1 # 5_1	5	3-4	4-6	4	3-4	2-3	3-4	4	4	7	4	3		
5_1* # 5_1*	3	5	4-6	4-5	5	6	5	4	4	2-3	4-5	5		
5_1 # 5_1*	2-3	2-4	2-6	2-4	2-4	2-3	1-4	2-4	1-4	3	2-3	1-5		
5_1 # 5_2	4	2-3	3-5	3	2-3	2	2-3	3	3	6	3	2-3		
5_1* # 5_2*	2	4	3-5	3-4	4	5	4	3	3	2	3-4	4		
5_1 # 5_2*	2-3	2-3	1-5	1-3	1-3	2	1-3	2-3	1-3	4	1-3	1-4		
5_1* # 5_2	2	2-3	1-5	1-3	2-3	3	2-3	2-3	1-3	2	1-3	2-4		
5_2 # 5_2	3-4	2	2-4	2	2	2	1-2	2-3	2-3	5	2	2-3		
5_2* # 5_2*	2	3	2-4	2-3	3	4	3-4	2-3	2-3	2-3	2-3	3		
5_2 # 5_2*	2	2	2-4	2	2	2	1-2	2-3	2-3	3	2	2-3		
